date,hour,apparentTemperature,dewPoint,humidity,icon,precipAccumulation,precipIntensity,precipProbability,temperature,windBearing,windGust,windSpeed
2017-01-01,0,-4.29,-5.69,0.9,clear-night,0.0,0,0,-4.29,180,0.45,0.32
2017-01-01,1,-4.29,-5.84,0.89,clear-night,0.0,0,0,-4.29,180,1.79,0.36
2017-01-01,2,-4.54,-5.84,0.91,clear-night,0.0,0,0,-4.54,95,1.34,0.45
2017-01-01,3,-4.83,-6.37,0.89,clear-night,0.0,0,0,-4.83,155,2.68,1.34
2017-01-01,4,-5.11,-6.53,0.9,clear-night,0.0,0,0,-5.11,-1,0.9,0
2017-01-01,5,-5.11,-6.53,0.9,clear-night,0.0,0,0,-5.11,114,3.13,0.63
2017-01-01,6,-5.38,-7.07,0.88,clear-night,0.0,0,0,-5.38,116,2.23,0.72
2017-01-01,7,-5.38,-7.07,0.88,clear-night,0.0,0,0,-5.38,180,1.79,0.25
2017-01-01,8,-5.38,-7.07,0.88,clear-night,0.0,0,0,-5.38,113,1.34,0.45
2017-01-01,9,-7.76,-6.53,0.88,clear-day,0.0,0,0,-4.83,125,2.23,1.79
2017-01-01,10,-8.75,-6.37,0.89,clear-day,0.0,0,0,-4.83,90,2.68,2.51
2017-01-01,11,-3.98,-5.84,0.87,clear-day,0.0,0,0,-3.98,122,2.68,1.05
2017-01-01,12,-6.16,-5.43,0.86,clear-day,0.0,0,0,-3.44,90,3.13,1.79
2017-01-01,13,-3.17,-5.02,0.87,clear-day,0.0,0,0,-3.17,116,3.13,0.93
2017-01-01,14,-5.22,-4.48,0.87,clear-day,0.0,0,0,-2.63,102,3.57,1.79
2017-01-01,15,-2.63,-4.62,0.86,clear-day,0.0,0,0,-2.63,122,3.57,0.9
2017-01-01,16,-2.63,-4.48,0.87,clear-day,0.0,0,0,-2.63,144,5.37,1.34
2017-01-01,17,-2.88,-3.78,0.94,clear-night,0.0,0,0,-2.88,97,3.57,0.9
2017-01-01,18,-2.88,-3.78,0.94,clear-night,0.0,0,0,-2.88,90,2.23,0.45
2017-01-01,19,-2.88,-3.78,0.94,clear-night,0.0,0,0,-2.88,106,3.57,0.84
2017-01-01,20,-2.88,-3.78,0.94,clear-night,0.0,0,0,-2.88,180,2.23,0.04
2017-01-01,21,-2.33,-3.22,0.94,clear-night,0.0,0,0,-2.33,92,3.13,1.34
2017-01-01,22,-2.33,-3.39,0.92,clear-night,0.0,0,0,-2.33,105,3.57,1.34
2017-01-01,23,-1.76,-3.22,0.9,clear-night,0.0,0,0,-1.76,132,2.23,1.03
2017-01-02,0,-1.76,-3.22,0.9,clear-night,0.0,0,0,-1.76,134,2.23,1.06
2017-01-02,1,-1.76,-3.22,0.9,clear-night,0.0,0,0,-1.76,154,4.47,1
2017-01-02,2,-1.76,-3.09,0.91,clear-night,0.0,0,0,-1.76,90,2.68,1.19
2017-01-02,3,-1.76,-3.09,0.91,clear-night,0.0,0,0,-1.76,116,2.23,0.72
2017-01-02,4,-1.76,-3.09,0.91,clear-night,0.0,0,0,-1.76,137,2.68,1.34
2017-01-02,5,-1.76,-2.95,0.92,clear-night,0.0,0,0,-1.76,-1,1.34,0
2017-01-02,6,-1.76,-2.95,0.92,clear-night,0.0,0,0,-1.76,-1,0.45,0
2017-01-02,7,-1.47,-2.38,0.93,clear-night,0.0,0,0,-1.47,114,0.9,0.45
2017-01-02,8,-1.47,-2.38,0.93,clear-night,0.0,0,0,-1.47,-1,0,0
2017-01-02,9,-1.21,-2.26,0.93,clear-day,0.0,0,0,-1.21,-1,0.9,0
2017-01-02,10,-0.92,-1.71,0.94,clear-day,0.0,0,0,-0.92,-1,0,0
2017-01-02,11,-0.64,-1.14,0.96,clear-day,0.0,0,0,-0.64,-1,0.45,0
2017-01-02,12,0.72,-0.58,0.91,clear-day,0.0,0,0,0.72,-1,0.9,0
2017-01-02,13,1.58,0.51,0.93,clear-day,0.0,0,0,1.58,-1,0.45,0
2017-01-02,14,1.26,-0.19,0.9,clear-day,0.0,0,0,1.26,-1,0.9,0
2017-01-02,15,1.58,-0.19,0.88,clear-day,0.0,0,0,1.58,-1,0.45,0
2017-01-02,16,1.26,-0.19,0.9,clear-day,0.0,0,0,1.26,0,2.23,0.55
2017-01-02,17,1.26,-0.04,0.91,clear-night,0.0,0,0,1.26,-1,0,0
2017-01-02,18,1.02,-0.43,0.9,clear-night,0.0,0,0,1.02,-1,0.45,0
2017-01-02,19,0.19,-1.7,0.87,clear-night,0.0,0,0,0.19,-1,0,0
2017-01-02,20,-0.36,-3.29,0.81,clear-night,0.0,0,0,-0.36,-1,0,0
2017-01-02,21,-1.52,-2.78,0.91,clear-night,0.0,0,0,-1.52,-1,0,0
2017-01-02,22,-0.95,-2.26,0.91,clear-night,0.0,0,0,-0.95,-1,0.45,0
2017-01-02,23,-0.95,-2.26,0.91,clear-night,0.0,0,0,-0.95,-1,0.45,0
2017-01-03,0,-0.39,-1.54,0.92,clear-night,0.0,0,0,-0.39,-1,0.45,0
2017-01-03,1,-0.39,-1.54,0.92,clear-night,0.0,0,0,-0.39,-1,0.45,0
2017-01-03,2,0.19,-0.98,0.92,clear-night,0.0,0,0,0.19,-1,0.45,0
2017-01-03,3,0.19,-0.98,0.92,clear-night,0.0,0,0,0.19,-1,0.9,0
2017-01-03,4,0.77,-0.98,0.88,clear-night,0.0,0,0,0.77,252,1.34,0.33
2017-01-03,5,0.77,-1.7,0.84,clear-night,0.0,0,0,0.77,-1,1.34,0
2017-01-03,6,1.32,-1.13,0.84,clear-night,0.0,0,0,1.32,-1,2.68,0
2017-01-03,7,1.32,-0.98,0.85,clear-night,0.0,0,0,1.32,225,2.68,0.45
2017-01-03,8,1.32,-1.13,0.84,clear-night,0.0,0,0,1.32,-1,0.45,0
2017-01-03,9,1.02,-1.13,0.85,clear-day,0.0,0,0,1.02,-1,2.68,0
2017-01-03,10,1.26,0.11,0.92,clear-day,0.0,0,0,1.26,-1,2.68,0
2017-01-03,11,1.83,0.51,0.91,clear-day,0.0,0,0,1.83,180,2.68,0.14
2017-01-03,12,2.39,0.79,0.89,clear-day,0.0,0,0,2.39,84,1.34,0.87
2017-01-03,13,2.39,0.77,0.89,clear-day,0.0,0,0,2.39,-1,2.68,0
